@relation RTlandRTRand2and3and4and5and6and7and8and9and10and11and
@attribute RTL numeric
@attribute RTR numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute 11 numeric
@attribute reverb {L, H}

@data
0.9639,1.0383,9.9101,0.0848,17.6324,1.7792,0.0000,0.1710,4.9835,0.1808,5.3633,0.9759,H
0.9260,0.9804,2.8254,0.0209,15.2772,5.4072,1.6195,0.2373,5.1582,0.3011,5.3892,0.9766,H
1.0209,1.0289,8.0805,0.0597,18.1330,2.2440,19.9749,0.1742,5.3910,0.1612,5.2629,0.9730,H
0.2765,0.2781,3.4373,0.0237,29.5226,8.5890,35.0532,0.2710,5.8845,0.1804,5.1837,0.9704,L
0.4141,0.3734,1.4462,0.0158,35.7247,24.7023,0.2255,0.3030,5.2364,0.0745,4.7444,0.9515,L
0.9230,0.9230,7.6247,0.0546,10.5635,1.3854,33.2514,0.0056,4.1657,0.0057,3.8023,0.8670,L
0.5727,0.5728,37.3049,0.9642,28.7915,0.7718,66.8558,0.0057,4.8418,0.0076,4.7413,0.9514,L
1.0016,1.0256,10.4624,0.0941,8.7387,0.8352,17.3056,0.3142,5.5939,0.3702,5.6897,0.9834,H
0.2877,0.2877,9.5046,0.0785,21.9752,2.3121,30.6906,0.0906,5.3216,0.0514,4.8059,0.9547,L
0.3677,0.4221,14.9343,0.2078,33.5653,2.2475,40.4915,0.3058,6.0457,0.3166,5.7452,0.9844,L
0.9289,0.9289,13.5044,0.1632,4.3525,0.3223,0.8259,0.0000,0.0165,0.0000,0.3727,0.1055,L
0.6013,0.6013,20.3159,0.4441,58.3654,2.8729,86.4662,0.0000,1.7293,0.0000,0.5607,0.1281,L
0.7066,0.7066,2.9039,0.0213,9.0822,3.1276,11.9076,0.0000,0.2382,0.0000,0.0801,0.0773,L
1.0409,1.0409,8.5267,0.0651,23.3595,2.7396,21.4096,0.2362,5.5521,0.2613,5.4849,0.9790,L
0.5129,0.5291,0.5726,0.0132,15.9885,27.9235,13.5328,0.0554,4.7648,0.0032,3.3469,0.7928,L
0.4596,0.4596,18.7223,0.3649,26.2990,1.4047,23.6564,0.0000,0.4731,0.0000,0.5167,0.1225,L
0.5219,0.5219,18.5379,0.3561,21.7948,1.1757,23.4716,0.0000,0.4694,0.0000,0.5116,0.1218,L
0.7951,0.7951,17.8555,0.3244,22.3455,1.2515,34.3120,0.0000,0.6862,0.0000,0.4928,0.1195,H
0.8727,0.8727,2.5421,0.0198,22.2847,8.7661,0.4393,0.0000,0.0088,0.0000,0.0702,0.0764,L
0.7725,0.4145,13.5432,0.1643,7.7239,0.5703,25.1295,0.2715,5.6869,0.4247,5.8344,0.9860,H
0.9264,0.9234,20.8271,0.4704,27.2143,1.3067,41.9230,0.3446,6.1263,0.3866,5.9946,0.9883,H
0.8272,0.7987,18.5433,0.3563,26.4992,1.4290,30.9068,0.1835,5.6322,0.2595,5.7585,0.9847,H
0.5666,0.4968,2.5817,0.0199,1.6139,0.6251,0.0070,0.3348,5.2754,0.0621,4.6967,0.9489,L
0.6229,0.6882,1.6363,0.0164,14.0166,8.5658,6.8740,0.1495,5.0626,0.0172,4.1137,0.9037,L
0.5458,0.5322,2.8525,0.0211,43.6357,15.2975,39.9451,0.1100,5.5908,0.0391,4.5034,0.9367,L
0.2770,0.2770,0.1661,0.0122,40.2206,242.0948,0.0000,0.0000,0.0000,0.0000,0.0046,0.0712,L
0.7986,0.8532,0.3691,0.0127,0.2736,0.7414,0.0491,0.3003,5.2291,0.0731,4.7064,0.9494,L
1.0191,0.9026,16.7368,0.2758,26.6297,1.5911,45.2901,0.0885,5.6031,0.1295,5.4068,0.9771,L
1.0470,1.0470,6.3796,0.0427,6.1399,0.9624,16.3900,0.0000,0.3278,0.0000,0.1761,0.0856,L
0.3213,0.3213,10.2825,0.0910,64.3603,6.2592,47.2473,0.0000,0.9449,0.0000,0.2838,0.0960,L
